246;Banco ABC Brasil S.A.
75;Banco ABN AMRO S.A.
25;Banco Alfa S.A.
641;Banco Alvorada S.A.
24;Banco BANDEPE S.A.
29;Banco Banerj S.A.
0;Banco Bankpar S.A.
740;Banco Barclays S.A.
107;Banco BBM S.A.
31;Banco Beg S.A.
96;Banco BM&FBOVESPA de Serviços de Liquidação e Custódia S.A
318;Banco BMG S.A.
752;Banco BNP Paribas Brasil S.A.
248;Banco Boavista Interatlântico S.A.
218;Banco Bonsucesso S.A.
65;Banco Bracce S.A.
36;Banco Bradesco BBI S.A.
204;Banco Bradesco Cartões S.A.
394;Banco Bradesco Financiamentos S.A.
237;Banco Bradesco S.A.
208;Banco BTG Pactual S.A.
263;Banco Cacique S.A.
473;Banco Caixa Geral - Brasil S.A.
40;Banco Cargill S.A.
;Banco Caterpillar S.A.
739;Banco Cetelem S.A.
233;Banco Cifra S.A.
745;Banco Citibank S.A.
M08;Banco Citicard S.A.
M19;Banco CNH Industrial Capital S.A.
215;Banco Comercial e de Investimento Sudameris S.A.
95;Banco Confidence de Câmbio S.A.
756;Banco Cooperativo do Brasil S.A. - BANCOOB
748;Banco Cooperativo Sicredi S.A.
222;Banco Credit Agricole Brasil S.A.
505;Banco Credit Suisse (Brasil) S.A.
;Banco CSF S.A.
3;Banco da Amazônia S.A.
083-3;Banco da China Brasil S.A.
707;Banco Daycoval S.A.
M06;Banco de Lage Landen Brasil S.A.
456;Banco de Tokyo-Mitsubishi UFJ Brasil S.A.
214;Banco Dibens S.A.
1;Banco do Brasil S.A.
47;Banco do Estado de Sergipe S.A.
37;Banco do Estado do Pará S.A.
41;Banco do Estado do Rio Grande do Sul S.A.
4;Banco do Nordeste do Brasil S.A.
265;Banco Fator S.A.
M03;Banco Fiat S.A.
224;Banco Fibra S.A.
626;Banco Ficsa S.A.
;Banco Fidis S.A.
394;Banco Finasa BMC S.A.
M18;Banco Ford S.A.
M07;Banco GMAC S.A.
612;Banco Guanabara S.A.
M22;Banco Honda S.A.
63;Banco Ibi S.A. Banco Múltiplo
M11;Banco IBM S.A.
604;Banco Industrial do Brasil S.A.
320;Banco Industrial e Comercial S.A.
653;Banco Indusval S.A.
249;Banco Investcred Unibanco S.A.
184;Banco Itaú BBA S.A.
479;Banco ItaúBank S.A
;Banco Itaucard S.A.
M09;Banco Itaucred Financiamentos S.A.
376;Banco J. P. Morgan S.A.
74;Banco J. Safra S.A.
217;Banco John Deere S.A.
600;Banco Luso Brasileiro S.A.
389;Banco Mercantil do Brasil S.A.
370;Banco Mizuho do Brasil S.A.
746;Banco Modal S.A.
45;Banco Opportunity S.A.
212;Banco Original S.A.
623;Banco Panamericano S.A.
611;Banco Paulista S.A.
643;Banco Pine S.A.
M24;Banco PSA Finance Brasil S.A.
747;Banco Rabobank International Brasil S.A.
356;Banco Real S.A.
633;Banco Rendimento S.A.
M16;Banco Rodobens S.A.
422;Banco Safra S.A.
33;Banco Santander (Brasil) S.A.
366;Banco Société Générale Brasil S.A.
12;Banco Standard de Investimentos S.A.
464;Banco Sumitomo Mitsui Brasileiro S.A.
082-5;Banco Topázio S.A.
M20;Banco Toyota do Brasil S.A.
634;Banco Triângulo S.A.
M14;Banco Volkswagen S.A.
M23;Banco Volvo (Brasil) S.A.
655;Banco Votorantim S.A.
610;Banco VR S.A.
119;Banco Western Union do Brasil S.A.
;Banco Yamaha Motor S.A.
21;BANESTES S.A. Banco do Estado do Espírito Santo
719;Banif-Banco Internacional do Funchal (Brasil)S.A.
755;Bank of America Merrill Lynch Banco Múltiplo S.A.
73;BB Banco Popular do Brasil S.A.
081-7;BBN Banco Brasileiro de Negócios S.A.
250;BCV - Banco de Crédito e Varejo S.A.
78;BES Investimento do Brasil S.A.-Banco de Investimento
;BNY Mellon Banco S.A.
69;BPN Brasil Banco Múltiplo S.A.
125;Brasil Plural S.A. - Banco Múltiplo
70;BRB - Banco de Brasília S.A.
104;Caixa Econômica Federal
477;Citibank S.A.
487;Deutsche Bank S.A. - Banco Alemão
64;Goldman Sachs do Brasil Banco Múltiplo S.A.
62;Hipercard Banco Múltiplo S.A.
399;HSBC Bank Brasil S.A. - Banco Múltiplo
492;ING Bank N.V.
652;Itaú Unibanco Holding S.A.
341;Itaú Unibanco S.A.
488;JPMorgan Chase Bank
254;Paraná Banco S.A.
751;Scotiabank Brasil S.A. Banco Múltiplo
;Standard Chartered Bank (Brasil) S/A–Bco Invest.
;UBS Brasil Banco de Investimento S.A.
409;UNIBANCO - União de Bancos Brasileiros S.A.
